"Caller","Callee","ExamplePath"
"github.com/ethereum/go-ethereum/cmd/geth.initGenesis","(*github.com/ethereum/go-ethereum/triedb.Database).Close","github.com/ethereum/go-ethereum/cmd/geth.initGenesis-|defer (*github.com/ethereum/go-ethereum/triedb.Database).Close(t81)|->(*github.com/ethereum/go-ethereum/triedb.Database).Close="
"github.com/ethereum/go-ethereum/cmd/geth.initGenesis","(*github.com/ethereum/go-ethereum/triedb.Database).Scheme","github.com/ethereum/go-ethereum/cmd/geth.initGenesis-|defer (*github.com/ethereum/go-ethereum/node.Node).Close(t30)|->(*github.com/ethereum/go-ethereum/node.Node).Close=(*github.com/ethereum/go-ethereum/node.Node).Close-|(*Node).stopServices(n, t12)|->(*github.com/ethereum/go-ethereum/node.Node).stopServices=(*github.com/ethereum/go-ethereum/node.Node).stopServices-|invoke t9.Stop()|->(*github.com/ethereum/go-ethereum/eth.Ethereum).Stop=(*github.com/ethereum/go-ethereum/eth.Ethereum).Stop-|(*github.com/ethereum/go-ethereum/core.BlockChain).Stop(t19)|->(*github.com/ethereum/go-ethereum/core.BlockChain).Stop=(*github.com/ethereum/go-ethereum/core.BlockChain).Stop-|(*github.com/ethereum/go-ethereum/triedb.Database).Scheme(t15)|->(*github.com/ethereum/go-ethereum/triedb.Database).Scheme="
"github.com/ethereum/go-ethereum/cmd/geth.initGenesis","(*github.com/ethereum/go-ethereum/triedb.Database).Dereference","github.com/ethereum/go-ethereum/cmd/geth.initGenesis-|defer (*github.com/ethereum/go-ethereum/node.Node).Close(t30)|->(*github.com/ethereum/go-ethereum/node.Node).Close=(*github.com/ethereum/go-ethereum/node.Node).Close-|(*Node).stopServices(n, t12)|->(*github.com/ethereum/go-ethereum/node.Node).stopServices=(*github.com/ethereum/go-ethereum/node.Node).stopServices-|invoke t9.Stop()|->(*github.com/ethereum/go-ethereum/eth.Ethereum).Stop=(*github.com/ethereum/go-ethereum/eth.Ethereum).Stop-|(*github.com/ethereum/go-ethereum/core.BlockChain).Stop(t19)|->(*github.com/ethereum/go-ethereum/core.BlockChain).Stop=(*github.com/ethereum/go-ethereum/core.BlockChain).Stop-|(*github.com/ethereum/go-ethereum/triedb.Database).Dereference(t51, t117)|->(*github.com/ethereum/go-ethereum/triedb.Database).Dereference="
"github.com/ethereum/go-ethereum/cmd/geth.initGenesis","(*github.com/ethereum/go-ethereum/triedb.Database).Update","github.com/ethereum/go-ethereum/cmd/geth.initGenesis-|github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride(t68, t81, t18, t32)|->github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride=github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride-|(*Genesis).Commit(t20, db, triedb)|->(*github.com/ethereum/go-ethereum/core.Genesis).Commit=(*github.com/ethereum/go-ethereum/core.Genesis).Commit-|flushAlloc(t16, db, triedb, t17)|->github.com/ethereum/go-ethereum/core.flushAlloc=github.com/ethereum/go-ethereum/core.flushAlloc-|(*github.com/ethereum/go-ethereum/core/state.StateDB).Commit(t3, 0:uint64, false:bool)|->(*github.com/ethereum/go-ethereum/core/state.StateDB).Commit=(*github.com/ethereum/go-ethereum/core/state.StateDB).Commit-|(*github.com/ethereum/go-ethereum/triedb.Database).Update(t200, t185, t190, block, t11, t197)|->(*github.com/ethereum/go-ethereum/triedb.Database).Update="
"github.com/ethereum/go-ethereum/cmd/geth.initGenesis","(*github.com/ethereum/go-ethereum/triedb.Database).Initialized","github.com/ethereum/go-ethereum/cmd/geth.initGenesis-|github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride(t68, t81, t18, t32)|->github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride=github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride-|(*github.com/ethereum/go-ethereum/triedb.Database).Initialized(triedb, t37)|->(*github.com/ethereum/go-ethereum/triedb.Database).Initialized="
"github.com/ethereum/go-ethereum/cmd/geth.initGenesis","(*github.com/ethereum/go-ethereum/triedb.Database).Commit","github.com/ethereum/go-ethereum/cmd/geth.initGenesis-|github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride(t68, t81, t18, t32)|->github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride=github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride-|(*Genesis).Commit(t20, db, triedb)|->(*github.com/ethereum/go-ethereum/core.Genesis).Commit=(*github.com/ethereum/go-ethereum/core.Genesis).Commit-|flushAlloc(t16, db, triedb, t17)|->github.com/ethereum/go-ethereum/core.flushAlloc=github.com/ethereum/go-ethereum/core.flushAlloc-|(*github.com/ethereum/go-ethereum/triedb.Database).Commit(triedb, t17, true:bool)|->(*github.com/ethereum/go-ethereum/triedb.Database).Commit="
"github.com/ethereum/go-ethereum/cmd/geth.initGenesis","(*github.com/ethereum/go-ethereum/triedb.Database).Journal","github.com/ethereum/go-ethereum/cmd/geth.initGenesis-|defer (*github.com/ethereum/go-ethereum/node.Node).Close(t30)|->(*github.com/ethereum/go-ethereum/node.Node).Close=(*github.com/ethereum/go-ethereum/node.Node).Close-|(*Node).stopServices(n, t12)|->(*github.com/ethereum/go-ethereum/node.Node).stopServices=(*github.com/ethereum/go-ethereum/node.Node).stopServices-|invoke t9.Stop()|->(*github.com/ethereum/go-ethereum/eth.Ethereum).Stop=(*github.com/ethereum/go-ethereum/eth.Ethereum).Stop-|(*github.com/ethereum/go-ethereum/core.BlockChain).Stop(t19)|->(*github.com/ethereum/go-ethereum/core.BlockChain).Stop=(*github.com/ethereum/go-ethereum/core.BlockChain).Stop-|(*github.com/ethereum/go-ethereum/triedb.Database).Journal(t29, t32)|->(*github.com/ethereum/go-ethereum/triedb.Database).Journal="
"github.com/ethereum/go-ethereum/cmd/geth.initGenesis","(*github.com/ethereum/go-ethereum/triedb.Database).Size","github.com/ethereum/go-ethereum/cmd/geth.initGenesis-|defer (*github.com/ethereum/go-ethereum/node.Node).Close(t30)|->(*github.com/ethereum/go-ethereum/node.Node).Close=(*github.com/ethereum/go-ethereum/node.Node).Close-|(*Node).stopServices(n, t12)|->(*github.com/ethereum/go-ethereum/node.Node).stopServices=(*github.com/ethereum/go-ethereum/node.Node).stopServices-|invoke t9.Stop()|->(*github.com/ethereum/go-ethereum/eth.Ethereum).Stop=(*github.com/ethereum/go-ethereum/eth.Ethereum).Stop-|(*github.com/ethereum/go-ethereum/core.BlockChain).Stop(t19)|->(*github.com/ethereum/go-ethereum/core.BlockChain).Stop=(*github.com/ethereum/go-ethereum/core.BlockChain).Stop-|(*github.com/ethereum/go-ethereum/triedb.Database).Size(t51)|->(*github.com/ethereum/go-ethereum/triedb.Database).Size="
"github.com/ethereum/go-ethereum/cmd/geth.initGenesis","(*github.com/ethereum/go-ethereum/triedb.Database).IsVerkle","github.com/ethereum/go-ethereum/cmd/geth.initGenesis-|github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride(t68, t81, t18, t32)|->github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride=github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride-|(*Genesis).Commit(t20, db, triedb)|->(*github.com/ethereum/go-ethereum/core.Genesis).Commit=(*github.com/ethereum/go-ethereum/core.Genesis).Commit-|flushAlloc(t16, db, triedb, t17)|->github.com/ethereum/go-ethereum/core.flushAlloc=github.com/ethereum/go-ethereum/core.flushAlloc-|github.com/ethereum/go-ethereum/core/state.New(t0, t1, nil:*github.com/ethereum/go-ethereum/core/state/snapshot.Tree)|->github.com/ethereum/go-ethereum/core/state.New=github.com/ethereum/go-ethereum/core/state.New-|invoke db.OpenTrie(root)|->(*github.com/ethereum/go-ethereum/core/state.cachingDB).OpenTrie=(*github.com/ethereum/go-ethereum/core/state.cachingDB).OpenTrie-|(*github.com/ethereum/go-ethereum/triedb.Database).IsVerkle(t1)|->(*github.com/ethereum/go-ethereum/triedb.Database).IsVerkle="
"github.com/ethereum/go-ethereum/cmd/geth.initGenesis","(*github.com/ethereum/go-ethereum/triedb.Database).InsertPreimage","github.com/ethereum/go-ethereum/cmd/geth.initGenesis-|github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride(t68, t81, t18, t32)|->github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride=github.com/ethereum/go-ethereum/core.SetupGenesisBlockWithOverride-|(*Genesis).Commit(t20, db, triedb)|->(*github.com/ethereum/go-ethereum/core.Genesis).Commit=(*github.com/ethereum/go-ethereum/core.Genesis).Commit-|flushAlloc(t16, db, triedb, t17)|->github.com/ethereum/go-ethereum/core.flushAlloc=github.com/ethereum/go-ethereum/core.flushAlloc-|(*github.com/ethereum/go-ethereum/core/state.StateDB).Commit(t3, 0:uint64, false:bool)|->(*github.com/ethereum/go-ethereum/core/state.StateDB).Commit=(*github.com/ethereum/go-ethereum/core/state.StateDB).Commit-|invoke t62.Commit(true:bool)|->(*github.com/ethereum/go-ethereum/trie.StateTrie).Commit=(*github.com/ethereum/go-ethereum/trie.StateTrie).Commit-|invoke t19.InsertPreimage(t3)|->(*github.com/ethereum/go-ethereum/triedb.Database).InsertPreimage="
